Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
20000,3.3990736,-0.25508618,-0.50448734,79.8,-1.8781004955725342,-1.8781004955725342,0.0,1.0
40000,3.390798,-0.16953999,-0.5139612,61.942424242424245,-1.9081492408952856,-1.9081492408952856,10.078079041588792,1.0
60000,3.3893678,-0.07773818,0.123272546,98.7989417989418,-1.848162423665007,-1.848162423665007,9.853514206255712,1.0
80000,3.3789427,-0.23044956,0.4617654,115.24731182795699,-1.8140897781347796,-1.8140897781347796,5.069568844812531,1.0
100000,3.376443,-0.17822768,0.83670586,87.16666666666667,-1.9096460469463317,-1.9096460469463317,2.7865771645304274,1.0
120000,3.3799844,-0.38863626,0.9799202,99.12,-1.9011419897788437,-1.9011419897788437,2.2666733458591626,1.0
140000,3.376931,-0.3640495,1.1962134,99.99509803921569,-1.8795872527661428,-1.8795872527661428,2.454564814839293,1.0
160000,3.372365,-0.46087164,1.2460074,86.82710280373831,-1.8050253434339538,-1.8050253434339538,1.4370895995924626,1.0
180000,3.3770525,-0.50120777,1.2316351,87.28095238095239,-1.878254020380814,-1.878254020380814,1.156206286878665,1.0
200000,3.3741484,-0.5734707,1.2403375,86.992,-1.9381035905163735,-1.9381035905163735,0.9416822385992855,1.0
220000,3.3757012,-0.6956556,1.1973397,72.55555555555556,-1.9506099905272445,-1.9506099905272445,0.6106548036188961,1.0
240000,3.3706076,-0.68801546,1.130355,151.48031496062993,-1.7569125945928257,-1.7569125945928257,1.1443353192019092,1.0
260000,3.3720562,-0.53447795,1.121286,228.96341463414635,-1.6493662647785148,-1.6493662647785148,1.5042875296666276,1.0
280000,3.3662815,-0.5274243,1.139496,158.4360902255639,-1.701024051691332,-1.701024051691332,1.0033838097478747,1.0
300000,3.3406563,-0.48771176,1.1237323,351.2641509433962,-1.5030943212244343,-1.5030943212244343,2.385709998795306,1.0
320000,3.3426082,-0.47221845,1.2448717,161.296875,-1.8193624942041424,-1.8193624942041424,1.0501525051167846,1.0
340000,3.3365183,-0.44894487,1.1263913,255.39743589743588,-1.6126217943241592,-1.6126217943241592,1.3335322966882721,1.0
360000,3.3349812,-0.5307255,1.0102694,272.6119402985075,-1.6297850557394438,-1.6297850557394438,1.2271969897338926,1.0
380000,3.3312724,-0.5192365,1.0183822,278.1081081081081,-1.6386972976167296,-1.6386972976167296,1.106878128522579,1.0
400000,3.3369136,-0.44064862,0.89186126,257.36046511627904,-1.6061895283583423,-1.6061895283583423,0.9367587038229198,1.0
420000,3.347638,-0.3432762,0.8693182,378.40425531914894,-1.410142547916621,-1.410142547916621,1.0215511621629938,1.0
440000,3.3401444,-0.2871824,0.67427707,553.4615384615385,-1.0379307621594471,-1.0379307621594471,1.4788785409659913,1.0
460000,3.3331149,-0.33841237,0.6817991,366.81481481481484,-1.375012701576237,-1.375012701576237,0.7767739667768844,1.0
480000,3.3336682,-0.1886605,0.54672015,827.0434782608696,-0.5475260793767951,-0.5475260793767951,1.747098918295587,1.0
500000,3.3240807,-0.12075379,0.47416607,999.0,-0.16116314987946107,-0.16116314987946107,1.627178901120236,1.0
520000,3.3398242,-0.1169275,0.4071303,819.5185185185185,-0.6922666687406255,-0.6922666687406255,1.523877827157439,1.0
540000,3.343223,-0.10415505,0.39295828,999.0,-0.22416110416331017,-0.22416110416331017,1.7727447131441698,1.0
560000,3.3484101,-0.08737462,0.36499512,775.56,-0.595267989106942,-0.595267989106942,1.4233436709269882,1.0
580000,3.3435178,-0.1371839,0.34974512,349.758064516129,-1.4075435400647562,-1.4075435400647562,0.6189315773832101,1.0
600000,3.3442779,-0.08611758,0.30971077,772.7307692307693,-0.6445115335384168,-0.6445115335384168,1.3637018125199785,1.0
620000,3.3414664,-0.09825197,0.30225533,783.2173913043479,-0.6506217310632801,-0.6506217310632801,1.4021800916196536,1.0
640000,3.348646,-0.078602426,0.28102568,999.0,-0.20257825064776547,-0.20257825064776547,2.0607818319745688,1.0
660000,3.3229084,-0.053522937,0.26505166,982.2631578947369,-0.3195315731450376,-0.3195315731450376,2.208506033216652,1.0
680000,3.3270025,-0.089605376,0.28867233,808.5652173913044,-0.5163565208280013,-0.5163565208280013,2.136514888934629,1.0
700000,3.2922583,-0.116838,0.28280842,573.8461538461538,-0.8595769128371149,-0.8595769128371149,1.8981986496215448,1.0
720000,3.2919178,-0.113501795,0.2779984,769.2692307692307,-0.5901319997617975,-0.5901319997617975,1.9643884398043157,1.0
740000,3.2964935,-0.12479972,0.28834015,587.8965517241379,-0.9462499942203674,-0.9462499942203674,1.2733244844712317,1.0
760000,3.2991571,-0.04636677,0.27675554,964.4166666666666,-0.14124999324364276,-0.14124999324364276,2.316184644897779,1.0
780000,3.2870953,-0.043706667,0.27560958,757.92,-0.5144799900939688,-0.5144799900939688,2.2989131835103036,1.0
800000,3.3006294,-0.07512402,0.26797745,743.3461538461538,-0.728288464436236,-0.728288464436236,2.207753633417619,1.0
820000,3.265504,-0.047568537,0.26659355,999.0,-0.08845499558956363,-0.08845499558956363,3.3827992603182793,1.0
840000,3.261226,-0.07186741,0.2996918,809.0,-0.4110319876577705,-0.4110319876577705,3.717406475245953,1.0
860000,3.2622778,-0.09546817,0.3427956,325.80645161290323,-1.3741048355845007,-1.3741048355845007,1.7242608262120835,1.0
880000,3.2602413,-0.051619027,0.36274,636.5862068965517,-0.8371758631446624,-0.8371758631446624,3.0122158884167156,1.0
900000,3.2487621,-0.05926042,0.33703506,848.96,-0.2593519831914455,-0.2593519831914455,4.148224136941135,1.0
920000,3.2557983,-0.062147677,0.40255013,999.0,-0.18466499211499468,-0.18466499211499468,6.649892924726009,1.0
940000,3.2456682,-0.0806125,0.40746048,865.7619047619048,-0.4813952282725257,-0.4813952282725257,4.666530478834396,1.0
960000,3.201854,-0.061099503,0.41870576,674.0588235294117,-0.6782529442220145,-0.6782529442220145,4.511962363058153,1.0
980000,3.1800349,-0.06185256,0.51783085,611.0333333333333,-0.7938533253036439,-0.7938533253036439,4.66064241573525,1.0
1000000,3.1585937,-0.027262188,0.5380756,715.2962962962963,-0.12063332675542268,-0.12063332675542268,5.022278886357391,1.0
1020000,3.1414957,-0.043971732,0.6086759,886.3333333333334,-0.11123749313992448,-0.11123749313992448,6.238624506940444,1.0
1040000,3.0944357,-0.039727047,0.5813781,874.8695652173913,0.23927826266837024,0.23927826266837024,5.914309071457905,1.0
1060000,3.074432,-0.045207053,0.6563003,767.074074074074,-0.10912961572951947,-0.10912961572951947,6.1674974860140575,1.0
1080000,3.0079975,-0.038335856,0.71888334,654.3793103448276,-0.19501723334241403,-0.19501723334241403,4.797014106964243,1.0
1100000,2.9334993,-0.014437807,0.68233216,627.9722222222222,-0.7994111177944837,-0.7994111177944837,4.402976568167408,1.0
1120000,2.9360714,-0.036621694,0.709164,408.275,-0.9814500101361773,-0.9814500101361773,3.2963626596028917,1.0
1140000,2.9703977,-0.015849205,0.7495436,854.1304347826087,0.26937392896102014,0.26937392896102014,6.206387215334436,1.0
1160000,2.9147017,0.0071399603,0.7032982,716.5666666666667,-0.22820331927311296,-0.22820331927311296,4.997116564773023,1.0
1180000,2.905566,-0.028626783,0.74058926,827.1818181818181,0.19914091610222717,0.19914091610222717,5.9463957243345,1.0
1200000,2.8393445,0.0013659741,0.7308059,599.5675675675676,-0.11236215486486971,-0.11236215486486971,4.402595741674304,1.0
1220000,2.8225193,-0.039090168,0.7034054,451.15909090909093,-0.926686364040837,-0.926686364040837,3.5769039517776533,1.0
1240000,2.8347926,-0.01721831,0.73400944,639.3103448275862,-0.603213781947551,-0.603213781947551,4.396954872934469,1.0
1260000,2.802071,-0.02965675,0.7093208,715.0689655172414,0.14211380258122266,0.14211380258122266,4.390274931965717,1.0
1280000,2.778327,-0.006016889,0.71474224,778.1851851851852,0.10185199771309271,0.10185199771309271,4.364495008476078,1.0
1300000,2.7412908,-0.03824113,0.69854623,516.775,-0.8298179538075764,-0.8298179538075764,3.2297362876005278,1.0
