Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
20000,3.3992517,84.27179487179487,0.12520842,0.19782013,-1.8570850535884582,-1.8570850535884582,0.0,1.0
40000,3.3915021,64.20795107033639,-0.07710613,0.12351769,-1.9159411530153436,-1.9159411530153436,11.498721008893193,1.0
60000,3.3952646,50.904632152588555,-0.2624335,0.7455284,-1.9668733639681824,-1.9668733639681824,3.8218428776295776,1.0
80000,3.3952582,65.80996884735202,-0.44424227,0.92057854,-1.9291289643298564,-1.9291289643298564,2.381504755304703,1.0
100000,3.3938835,89.79357798165138,-0.5607352,1.1902819,-1.9156096252995125,-1.9156096252995125,2.278132809714816,1.0
120000,3.3914428,66.42657342657343,-0.7128296,1.4574018,-1.901385012859128,-1.901385012859128,1.593885401624031,1.0
140000,3.3824747,86.39269406392694,-0.7731755,2.1317985,-1.8797380722580699,-1.8797380722580699,1.8304501707546004,1.0
160000,3.3821752,73.7173144876325,-0.7885502,2.1106985,-1.939950695732452,-1.939950695732452,1.1101795944932875,1.0
180000,3.3755534,131.76923076923077,-0.73438126,1.7036114,-1.8531513890682416,-1.8531513890682416,1.536401611888626,1.0
200000,3.371829,150.7076923076923,-0.7107589,1.6422646,-1.794897662963025,-1.794897662963025,1.509874759965699,1.0
220000,3.3492095,168.24761904761905,-0.71233433,2.0100129,-1.7611283014620707,-1.7611283014620707,1.710390542690941,1.0
240000,3.3668563,232.32258064516128,-0.60323435,1.5887696,-1.7382935435243292,-1.7382935435243292,2.316966254429351,1.0
260000,3.3532891,90.36244541484716,-0.68649846,1.6274464,-1.9147357976256756,-1.9147357976256756,0.5741500946231528,1.0
280000,3.3675725,258.22535211267603,-0.51939803,1.3104701,-1.4856271331680806,-1.4856271331680806,1.206934034990679,1.0
300000,3.3686693,247.6375,-0.5642491,1.1416855,-1.540884988065227,-1.540884988065227,1.181632958445698,1.0
320000,3.3536246,275.1898734177215,-0.47645563,1.209789,-1.5654214976857934,-1.5654214976857934,0.9743388962926036,1.0
340000,3.3465967,274.91525423728814,-0.40959635,1.2294104,-1.583739991336673,-1.583739991336673,0.9534176870792483,1.0
360000,3.338216,147.96226415094338,-0.4618812,1.3107133,-1.8239748325461007,-1.8239748325461007,0.43653448277413726,1.0
380000,3.3486192,109.57142857142857,-0.53214574,1.1447477,-1.8906940745014817,-1.8906940745014817,0.3363745237945871,1.0
