Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
20000,3.3862553,517.8571428571429,-1.7856779,1.2347978,-1.3743750035978988,-1.3743750035978988,0.0,1.0
40000,3.377324,696.2666666666667,-1.3401017,1.121326,-1.0690366555005313,-1.0690366555005313,107.31249839862188,1.0
60000,3.3736007,516.1860465116279,-1.3593166,2.1367483,-1.3924837275354063,-1.3924837275354063,56.81456057207529,1.0
80000,3.3699749,533.8181818181819,-1.1432531,2.5671654,-1.613846901402212,-1.613846901402212,39.504243726842105,1.0
100000,3.3658586,555.2631578947369,-1.009938,2.9638166,-1.1098358835241435,-1.1098358835241435,29.075082359787746,1.0
120000,3.3741276,482.81081081081084,-0.92125595,2.7836142,-1.484197287172916,-1.484197287172916,19.188461871062582,1.0
140000,3.3733318,475.69565217391306,-0.7267868,2.6118627,-1.3781086967235594,-1.3781086967235594,11.369712316714551,1.0
160000,3.361197,627.5625,-0.69224656,2.748679,-0.7914968721761397,-0.7914968721761397,12.812476812396199,1.0
180000,3.3660233,578.25,-0.649764,2.6090908,-1.2210062647718587,-1.2210062647718587,11.02977948274929,1.0
200000,3.3612537,561.0769230769231,-0.48352402,2.505355,-1.0942263013275806,-1.0942263013275806,8.362552515966328,1.0
220000,3.3639047,629.9333333333333,-0.47385946,2.2140121,-1.02122665742257,-1.02122665742257,7.617544644946853,1.0
240000,3.3545647,549.5142857142857,-0.4005184,2.307135,-1.1902864911653277,-1.1902864911653277,7.166216409488304,1.0
260000,3.3587863,516.4545454545455,-0.37818968,1.8300114,-1.4911091052256806,-1.4911091052256806,5.106427337184097,1.0
280000,3.3437562,591.2857142857143,-0.45039737,2.2467806,-1.2297027714472886,-1.2297027714472886,5.411262900982466,1.0
300000,3.3413808,531.7631578947369,-0.48068833,2.0454926,-1.0208499994478188,-1.0208499994478188,5.030051296135705,1.0
320000,3.348498,571.1111111111111,-0.45528364,1.8698615,-1.3214805556522657,-1.3214805556522657,4.330984998416777,1.0
340000,3.335241,595.6875,-0.3567993,1.8892041,-1.1731343909941643,-1.1731343909941643,3.6321338990237564,1.0
360000,3.3251994,650.4242424242424,-0.4133449,1.6814748,-1.1685272507108466,-1.1685272507108466,3.3809775497877235,1.0
380000,3.3180368,551.3055555555555,-0.28022477,1.4527848,-1.3742666693772965,-1.3742666693772965,2.7288638826511384,1.0
400000,3.3055797,659.8666666666667,-0.41015732,1.5625014,-1.371839995123446,-1.371839995123446,3.146777067457636,1.0
420000,3.3185241,629.2413793103449,-0.344133,1.234534,-0.9696930792415515,-0.9696930792415515,3.1076206986567585,1.0
440000,3.323695,690.1333333333333,-0.2619279,0.98870814,-1.0277333178809689,-1.0277333178809689,2.6158563159406185,1.0
460000,3.3106952,675.4516129032259,-0.26097798,1.0051641,-1.0524387093685237,-1.0524387093685237,2.139017627454333,1.0
480000,3.3164706,627.7333333333333,-0.23588745,0.8515032,-1.118849989081112,-1.118849989081112,1.9436692394005755,1.0
500000,3.3280876,655.1935483870968,-0.23747848,0.7876404,-1.144590335540406,-1.144590335540406,1.936841367323312,1.0
520000,3.334184,639.7,-0.17785051,0.73812854,-0.7714499973478571,-0.7714499973478571,1.9546944939803022,1.0
540000,3.3389614,655.75,-0.20257477,0.7003816,-0.7137468777837057,-0.7137468777837057,1.9025096305995248,1.0
560000,3.317171,635.2,-0.3164601,0.72416574,-1.2248633115552365,-1.2248633115552365,1.9112722481911382,1.0
580000,3.3244758,747.8461538461538,-0.21458787,0.53882825,-0.6475576751802762,-0.6475576751802762,1.654720363028061,1.0
600000,3.3364763,821.1111111111111,-0.2265153,0.5923346,-0.9114185190410353,-0.9114185190410353,1.7417551688849926,1.0
620000,3.3147888,729.3076923076923,-0.17282146,0.48327294,-0.8825153772463986,-0.8825153772463986,2.1701618917286396,1.0
640000,3.290694,704.6153846153846,-0.22106913,0.51395637,-1.0607923049806582,-1.0607923049806582,2.0023017772115193,1.0
660000,3.2962496,806.1724137931035,-0.16455412,0.4480511,-0.7910827594640633,-0.7910827594640633,3.0811078442453312,1.0
680000,3.3076155,845.5238095238095,-0.15682843,0.46791452,-0.8263999911490828,-0.8263999911490828,2.955667521804571,1.0
700000,3.296204,656.1290322580645,-0.16539691,0.435501,-0.8060129116450797,-0.8060129116450797,2.756741326903143,1.0
720000,3.264875,660.125,-0.15375492,0.45575768,-0.3837696860833658,-0.3837696860833658,2.8075475675251447,1.0
740000,3.2555034,683.3214285714286,-0.16257605,0.42307365,-0.7661392716025668,-0.7661392716025668,2.71251462715944,1.0
760000,3.2719297,730.4615384615385,-0.119525544,0.42836756,-0.8311423006637667,-0.8311423006637667,3.2136512618834296,1.0
780000,3.2660017,797.88,-0.1371966,0.44596806,-0.5955759961321019,-0.5955759961321019,3.4197221225500107,1.0
800000,3.280928,660.3636363636364,-0.16854429,0.45460898,-0.9496484736393375,-0.9496484736393375,4.196275976542948,1.0
820000,3.2592177,639.28125,-0.17099056,0.47712538,-0.5988124950308702,-0.5988124950308702,3.0702312421490205,1.0
840000,3.2495224,623.5333333333333,-0.18724331,0.4795239,-0.8576399883682219,-0.8576399883682219,3.2855898653467497,1.0
860000,3.2422569,679.5555555555555,-0.13478372,0.44729143,-0.8084036994173571,-0.8084036994173571,3.512528578716296,1.0
880000,3.2443857,838.0,-0.11084701,0.5138073,-0.35295926282156465,-0.35295926282156465,5.445587968798699,1.0
900000,3.2046182,667.7777777777778,-0.119991235,0.50296336,-0.7549222143392803,-0.7549222143392803,3.889265528155698,1.0
920000,3.1904066,704.0370370370371,-0.08179983,0.56799406,-0.563822208808873,-0.563822208808873,4.624014030866049,1.0
940000,3.2342706,681.625,-0.06896394,0.5718028,-0.49415936441619124,-0.49415936441619124,3.7198834021110088,1.0
960000,3.2118993,790.0833333333334,-0.061456073,0.5444438,-0.7729375049044999,-0.7729375049044999,5.820704616761456,1.0
980000,3.201293,504.0,-0.0678526,0.5836615,-1.0494894619332626,-1.0494894619332626,2.93712667066996,1.0
1000000,3.2005863,624.7222222222222,-0.12344804,0.5940351,-1.1490333163140651,-1.1490333163140651,3.6442673284974365,1.0
1020000,3.2042508,612.5,-0.12624912,0.5565512,-0.8906833343363056,-0.8906833343363056,3.626010217765967,1.0
1040000,3.1719832,659.375,-0.13652413,0.5554149,-1.1018187422705523,-1.1018187422705523,3.3794435338350013,1.0
1060000,3.1662831,594.060606060606,-0.14284268,0.58974546,-1.0102969472381202,-1.0102969472381202,3.520124157495571,1.0
1080000,3.1506193,561.8529411764706,-0.26371014,0.5561064,-1.1038058942332796,-1.1038058942332796,3.044262287864352,1.0
1100000,3.1036143,562.5945945945946,-0.22925478,0.5992051,-0.532640539565929,-0.532640539565929,3.521937334054225,1.0
1120000,3.0934083,616.3529411764706,-0.14764073,0.5825169,-0.48632352821261843,-0.48632352821261843,3.7477493331877185,1.0
1140000,3.1300337,614.2121212121212,-0.17393796,0.6045564,-0.7969605958258564,-0.7969605958258564,3.3539694348971048,1.0
1160000,3.087333,546.0277777777778,-0.09694585,0.58332956,-0.7478722175712593,-0.7478722175712593,3.2012703033785024,1.0
1180000,3.1025677,712.6666666666666,-0.19974746,0.6060308,-0.5523185168944851,-0.5523185168944851,4.307158995143793,1.0
1200000,3.0691059,606.5625,-0.13994738,0.63311183,-0.939328112426665,-0.939328112426665,4.000444990779215,1.0
1220000,3.0271516,570.4473684210526,-0.10580905,0.6496253,-1.1632162137696445,-1.1632162137696445,3.702263489881581,1.0
1240000,3.0344064,501.5,-0.21098314,0.62456834,-1.1560358894826213,-1.1560358894826213,3.473332864495042,1.0
1260000,2.9855232,572.75,-0.16733614,0.60516876,-0.799128566951757,-0.799128566951757,3.414365096230592,1.0
1280000,2.959773,448.5365853658537,-0.110383555,0.62504137,-0.5187463337916132,-0.5187463337916132,2.837607040785526,1.0
