Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
20000,2.8149917,465.6578947368421,0.10651021,-1.1135621630662196,-1.1135621630662196,0.08266802,0.022181867,0.00029984614,1.0
40000,2.7985733,491.425,0.0230929,-1.1410975657948634,-1.1410975657948634,0.012494981,0.023368165,0.00029961346,1.0
60000,2.8022199,697.8148148148148,-0.04336784,-1.1818111075295343,-1.1818111075295343,0.0119367745,0.022860311,0.00029930245,1.0
80000,2.7851143,669.6333333333333,-0.059660643,-1.2054966653386752,-1.2054966653386752,0.005596176,0.022284918,0.00029899477,1.0
100000,2.778351,719.925925925926,-0.0885637,-1.0558592558459,-1.0558592558459,0.0053470796,0.023451371,0.00029868697,1.0
120000,2.777137,595.8484848484849,-0.10109046,-1.2342697007186485,-1.2342697007186485,0.007459601,0.024262685,0.00029837852,1.0
140000,2.7615497,782.1481481481482,-0.10231546,-1.180442318893396,-1.180442318893396,0.006164384,0.025639385,0.00029806903,1.0
160000,2.7533896,773.75,-0.10262496,-1.105635994374752,-1.105635994374752,0.0038402984,0.027636062,0.00029775986,1.0
180000,2.7640839,675.1290322580645,-0.12068178,-1.1936483847037438,-1.1936483847037438,0.0067782467,0.018581906,0.0002974507,1.0
200000,2.7471974,708.6333333333333,-0.12112443,-1.077990003923575,-1.077990003923575,0.002604353,0.021734446,0.00029714248,1.0
220000,2.76444,824.2272727272727,-0.1274216,-1.1227545399557461,-1.1227545399557461,0.004021883,0.024098737,0.00029683387,1.0
240000,2.7644727,882.375,-0.1387446,-1.0939499884843826,-1.0939499884843826,0.0022926787,0.021791501,0.00029652566,1.0
260000,2.7434661,710.5,-0.12660365,-1.070242858358792,-1.070242858358792,0.0041484986,0.026996307,0.00029621634,1.0
280000,2.7350156,676.6071428571429,-0.13838476,-1.1076428557613067,-1.1076428557613067,0.0043104636,0.02466041,0.00029590738,1.0
300000,2.715143,736.7692307692307,-0.122039266,-1.0856230797675939,-1.0856230797675939,0.0029806374,0.021796461,0.00029559794,1.0
320000,2.713752,849.5769230769231,-0.12170326,-0.9487846032358133,-0.9487846032358133,0.0037837438,0.024340808,0.00029528816,1.0
340000,2.7055056,630.7058823529412,-0.14176548,-1.1344468772877008,-1.1344468772877008,0.004864988,0.024429176,0.0002949799,1.0
360000,2.7479856,613.8709677419355,-0.15083615,-0.9187424164829832,-0.9187424164829832,0.0039368486,0.023654686,0.00029474933,1.0
380000,2.74716,724.3461538461538,-0.14789018,-1.015519231557846,-1.015519231557846,0.004990764,0.022416748,0.00029451755,1.0
400000,2.7379515,772.24,-0.15970728,-1.1351240020990372,-1.1351240020990372,0.0044851806,0.02205851,0.00029420797,1.0
420000,2.7124462,646.5757575757576,-0.17007357,-1.224666657321381,-1.224666657321381,0.008657111,0.025387647,0.0002938987,1.0
440000,2.7256606,805.7826086956521,-0.14053792,-1.0043347733824148,-1.0043347733824148,0.002498283,0.022370517,0.00029359,1.0
460000,2.710592,691.3103448275862,-0.11769068,-1.0386896570181023,-1.0386896570181023,0.0014932367,0.024890468,0.00029328105,1.0
480000,2.6849194,704.7931034482758,-0.13136339,-1.121041384750399,-1.121041384750399,0.0028494748,0.023178522,0.00029297068,1.0
500000,2.694326,709.0,-0.1438392,-1.0864964300500495,-1.0864964300500495,0.0056685074,0.019594971,0.0002926602,1.0
520000,2.680311,678.4193548387096,-0.1328263,-1.1969064572645771,-1.1969064572645771,0.0034502489,0.024877798,0.00029235118,1.0
540000,2.6727908,790.375,-0.13160186,-0.9390333341434598,-0.9390333341434598,0.0068187662,0.023525061,0.0002920411,1.0
560000,2.6786034,713.5,-0.12205295,-1.2351884477986739,-1.2351884477986739,0.007097485,0.023243668,0.00029173307,1.0
580000,2.6705468,791.8461538461538,-0.1282719,-1.0638192238715978,-1.0638192238715978,0.0029210409,0.023734827,0.00029142396,1.0
600000,2.6525066,813.6538461538462,-0.13031499,-0.89345769612835,-0.89345769612835,0.0023577197,0.025225427,0.00029111508,1.0
