Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
20000,3.3940089,612.8461538461538,0.47142383,0.02607353,-1.1197153789936027,-1.1197153789936027,0.0,1.0
40000,3.382827,684.03125,0.4458036,0.10000162,-1.2575593933142954,-1.2575593933142954,150.0688000805676,1.0
60000,3.3870997,523.5,0.19702315,1.1498162,-1.3310124917516077,-1.3310124917516077,53.18163492716849,1.0
80000,3.3743832,645.8611111111111,0.23396057,1.8663723,-1.2474527822697483,-1.2474527822697483,38.28104131668806,1.0
100000,3.366547,567.6363636363636,0.20133223,2.2263072,-1.1484787849723503,-1.1484787849723503,27.94799233476321,1.0
120000,3.364897,593.40625,0.14511186,2.3279288,-1.138865624430764,-1.138865624430764,18.582202153862454,1.0
140000,3.3653615,675.0,0.044531807,2.376919,-1.04676332056794,-1.04676332056794,18.279861100018024,1.0
160000,3.3567755,715.2413793103449,0.031351425,2.457422,-1.002829976818369,-1.002829976818369,15.788017398615677,1.0
180000,3.3468602,611.9333333333333,0.07556871,2.781839,-1.339850000051471,-1.339850000051471,13.707494165748358,1.0
200000,3.3653235,538.675,-0.029672595,2.519892,-1.1193281931277268,-1.1193281931277268,8.779920157713768,1.0
220000,3.3511822,457.70454545454544,-0.027683875,2.6433718,-1.6312155550365182,-1.6312155550365182,7.606799531583157,1.0
240000,3.359281,506.825,-0.116237484,2.15829,-1.516022502927808,-1.516022502927808,6.034296462824568,1.0
260000,3.3547313,599.9375,-0.11632854,2.112777,-1.1082687279140373,-1.1082687279140373,6.732965953182429,1.0
280000,3.3508065,669.9666666666667,-0.14133324,2.015643,-1.012716651490579,-1.012716651490579,6.223529456928373,1.0
300000,3.342708,616.2,-0.13781446,2.074391,-1.2501366645175342,-1.2501366645175342,5.532953015218179,1.0
320000,3.344751,602.8709677419355,-0.16439395,1.8617754,-1.2471933084966926,-1.2471933084966926,5.086287679445619,1.0
340000,3.3352444,685.1515151515151,-0.15380728,1.5466835,-1.2051970342889784,-1.2051970342889784,4.9233659388059205,1.0
360000,3.333303,569.9444444444445,-0.19075713,1.5781292,-1.0773942760956874,-1.0773942760956874,3.8175638876855373,1.0
380000,3.3021586,581.9090909090909,-0.2380267,1.5234301,-1.258458831542692,-1.258458831542692,3.334380527629572,1.0
400000,3.3308399,592.15625,-0.19621597,1.3830556,-1.3421386939824573,-1.3421386939824573,2.9414970547321344,1.0
420000,3.3349946,701.3666666666667,-0.17824112,1.2961882,-0.6018096770407753,-0.6018096770407753,3.1433969002457394,1.0
440000,3.3378556,632.0322580645161,-0.13454284,1.1289781,-1.1537709703458654,-1.1537709703458654,2.759362104198625,1.0
460000,3.3392243,689.7142857142857,-0.14746383,0.97770745,-0.7008499980999788,-0.7008499980999788,2.375531198290576,1.0
480000,3.3260663,703.7,-0.26268098,0.91959584,-1.0286466572297892,-1.0286466572297892,2.755543868274738,1.0
500000,3.328792,634.5357142857143,-0.15689601,0.83739185,-1.3850749857436833,-1.3850749857436833,2.122753644062738,1.0
520000,3.326862,729.0,-0.22842352,0.82653254,-1.1777290196942856,-1.1777290196942856,2.676689667867557,1.0
540000,3.3225236,653.1612903225806,-0.17057788,0.7080358,-0.915946664257596,-0.915946664257596,2.1712767856816453,1.0
560000,3.3184643,649.75,-0.15073045,0.60099703,-1.0732000025956698,-1.0732000025956698,2.103279024025361,1.0
580000,3.306058,715.0714285714286,-0.21527688,0.6053128,-0.7991642870297905,-0.7991642870297905,2.161294105595776,1.0
600000,3.3154933,813.24,-0.10774878,0.54580235,-0.48254999294294976,-0.48254999294294976,2.3640159809729084,1.0
620000,3.3008318,785.75,-0.11788337,0.51556593,-0.6625599957746453,-0.6625599957746453,2.5191279086191205,1.0
640000,3.2967443,727.5185185185185,-0.1463323,0.5002782,-0.7006666673373224,-0.7006666673373224,1.932093280746981,1.0
660000,3.29865,811.6923076923077,-0.13441804,0.45836017,-0.6101153712101782,-0.6101153712101782,2.367403664697821,1.0
680000,3.2882373,831.0,-0.15013649,0.42338195,-0.46003750318292685,-0.46003750318292685,2.0790398952085525,1.0
700000,3.288404,782.0,-0.13500634,0.38654578,-0.17050384503986257,-0.17050384503986257,2.0695346936117858,1.0
720000,3.2710834,789.5384615384615,-0.16165194,0.3378093,-0.5477115353166412,-0.5477115353166412,2.010567124825544,1.0
740000,3.22618,832.7083333333334,-0.2148962,0.3813387,-0.49013332943771576,-0.49013332943771576,2.893617711340388,1.0
760000,3.2659614,784.7826086956521,-0.1110498,0.33560425,-0.10891738481839876,-0.10891738481839876,2.7485945315464684,1.0
780000,3.2478943,906.2608695652174,-0.10005336,0.33464855,-0.5398695530590054,-0.5398695530590054,2.946339915142111,1.0
800000,3.2110612,819.8,-0.17749129,0.3441615,-0.5145480029727332,-0.5145480029727332,3.1787548157572747,1.0
820000,3.1909468,735.04,-0.18343544,0.37085128,-0.7407240114803426,-0.7407240114803426,2.968604041300714,1.0
840000,3.1554768,804.1111111111111,-0.16419204,0.3769519,-0.5242629639838857,-0.5242629639838857,3.036952647484011,1.0
860000,3.2021363,779.3333333333334,-0.12302171,0.36213726,-0.6615374825535886,-0.6615374825535886,3.4444949456956238,1.0
