Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
10000,2.1909149,183.02083333333334,-0.67299366,-1.6880456,-1.080929161941943,-1.080929161941943,0.0,1.0
20000,2.1880176,302.34285714285716,-0.48266715,-1.3613743,-0.9504114373454026,-0.9504114373454026,23.735922116892677,1.0
30000,2.1825333,213.14285714285714,-0.5222618,-1.0448631,-0.9632750074573172,-0.9632750074573172,11.870030512916856,1.0
40000,2.173419,229.0,-0.5218686,-0.6641074,-1.0608954678120261,-1.0608954678120261,8.404280959247528,1.0
50000,2.1635265,209.13953488372093,-0.46628472,-0.32452148,-1.0749142854696228,-1.0749142854696228,5.344145372864746,1.0
60000,2.1657808,158.44776119402985,-0.44013467,-0.08710013,-1.0498029867381746,-1.0498029867381746,3.3714884173875648,1.0
70000,2.1654203,270.2631578947368,-0.40961295,0.15846132,-0.9836974467318027,-0.9836974467318027,4.124517109292822,1.0
80000,2.154597,245.0,-0.38742203,0.29914063,-0.9092048819563011,-0.9092048819563011,3.187223922393126,1.0
90000,2.1330938,226.95238095238096,-0.35432908,0.31597388,-0.9877902445178933,-0.9877902445178933,2.0697064177110427,1.0
100000,2.1184886,212.41666666666666,-0.3663239,0.42934358,-1.0594039989449084,-1.0594039989449084,1.6540178676042705,1.0
110000,2.1336718,215.88636363636363,-0.34429944,0.57305413,-1.0703045402187854,-1.0703045402187854,1.6780284391504459,1.0
120000,2.131864,286.7142857142857,-0.3044132,0.44646198,-0.9720514233091048,-0.9720514233091048,1.567907103177692,1.0
130000,2.129414,365.0,-0.3094334,0.52327937,-0.7053000152310622,-0.7053000152310622,1.869160263233685,1.0
140000,2.119254,348.55555555555554,-0.2704983,0.585309,-0.78254075265593,-0.78254075265593,2.352930087320231,1.0
150000,2.104585,299.1666666666667,-0.27002597,0.6099809,-0.841422234972318,-0.841422234972318,1.320113464879493,1.0
160000,2.087421,227.55,-0.25694323,0.4483355,-0.998490002984181,-0.998490002984181,0.780008351104334,1.0
170000,2.1025198,363.35714285714283,-0.2416445,0.5651215,-0.5590571582849536,-0.5590571582849536,1.3566947008616157,1.0
180000,2.1066992,346.14814814814815,-0.22116877,0.46641824,-0.9549777777520595,-0.9549777777520595,0.9838169049644084,1.0
190000,2.105372,479.1363636363636,-0.21301526,0.504922,-0.3146091129376807,-0.3146091129376807,1.549034051935781,1.0
200000,2.0826287,425.3636363636364,-0.18371296,0.4450091,-0.7779636688488112,-0.7779636688488112,1.228565821593458,1.0
210000,2.085467,460.60869565217394,-0.17704561,0.44618034,-0.5431000295687806,-0.5431000295687806,1.5418022081933238,1.0
220000,2.0708003,353.9655172413793,-0.21218905,0.44013745,-1.161626669826607,-1.161626669826607,1.0721136042227348,1.0
230000,2.0802562,388.53846153846155,-0.17201968,0.4131371,-0.734169231629214,-0.734169231629214,1.0044139570807322,1.0
240000,2.084143,591.4375,-0.17248587,0.41493478,-0.5794875277642859,-0.5794875277642859,1.5534626709995791,1.0
250000,2.0647323,343.2142857142857,-0.19433582,0.3871229,-0.9779000082718474,-0.9779000082718474,0.8678642931543956,1.0
260000,2.05734,435.6363636363636,-0.15162589,0.332046,-0.7744181945242665,-0.7744181945242665,1.0209686428477818,1.0
270000,2.0251045,367.44827586206895,-0.1361704,0.34716758,-0.7192276074743733,-0.7192276074743733,1.0490895000061597,1.0
280000,2.0053697,327.0344827586207,-0.17827795,0.33136618,-1.0156137988549367,-1.0156137988549367,1.0092301499419685,1.0
290000,2.002112,462.2608695652174,-0.21749783,0.38229308,-0.47031305786019756,-0.47031305786019756,1.6647450099395507,1.0
300000,2.0227237,341.92857142857144,-0.15773715,0.36033112,-0.7851926052459964,-0.7851926052459964,1.0159494910665132,1.0
310000,1.9806308,307.8181818181818,-0.2231664,0.3413067,-0.8825705963844324,-0.8825705963844324,0.8359991418546997,1.0
320000,1.9817121,321.8125,-0.21404047,0.34645814,-0.7624838961468589,-0.7624838961468589,0.8528865944038355,1.0
330000,1.997102,369.88461538461536,-0.16713239,0.36418462,-1.037000021736066,-1.037000021736066,1.095768756560014,1.0
340000,1.9872351,456.7142857142857,-0.20278293,0.35292104,-0.6980454741384495,-0.6980454741384495,1.1636681288311428,1.0
350000,1.9815115,583.0,-0.20409134,0.3206652,-0.5490235452923704,-0.5490235452923704,1.4490227429264717,1.0
360000,1.9938186,549.7777777777778,-0.1374209,0.32762384,-0.6742444715281535,-0.6742444715281535,1.35524896118376,1.0
