Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
20000,3.615421,554.7,0.36576238,0.27646875,-1.339635009370492,-1.339635009370492,0.0,1.0
40000,3.6019366,551.5263157894736,0.50669736,0.1925485,-1.3827789472829624,-1.3827789472829624,47.07068295345495,1.0
60000,3.6065922,544.3939393939394,0.2918363,0.814512,-1.3538696888038733,-1.3538696888038733,14.572086278462049,1.0
80000,3.5939348,556.8648648648649,0.44074377,0.9158671,-1.3591337629833427,-1.3591337629833427,9.76801876915065,1.0
100000,3.5989149,519.6666666666666,0.3362377,1.2945156,-1.4215525440597094,-1.4215525440597094,7.896524583443235,1.0
120000,3.601894,597.6470588235294,0.2652174,1.2561443,-1.0316573552984611,-1.0316573552984611,6.8298418287954785,1.0
140000,3.6020103,720.6296296296297,0.19873385,1.2284466,-1.0501461431346029,-1.0501461431346029,6.619749829531289,1.0
160000,3.5828967,695.448275862069,0.10673193,1.0091681,-1.1520216550474287,-1.1520216550474287,4.507719486237814,1.0
180000,3.5804572,620.9117647058823,0.044281192,0.8800647,-1.0683235158293802,-1.0683235158293802,3.2421398568788873,1.0
200000,3.5941837,573.8181818181819,0.012009249,0.8736843,-1.29654696407361,-1.29654696407361,2.720000575607022,1.0
220000,3.5615375,737.4230769230769,0.059648126,1.0332563,-0.981636531750085,-0.981636531750085,3.532018430101184,1.0
240000,3.5918365,509.2432432432432,-0.012286876,0.8460432,-1.2405661997681081,-1.2405661997681081,2.0609688694601425,1.0
260000,3.6003273,679.9354838709677,-0.0053941123,0.69260293,-0.9687887026600712,-0.9687887026600712,2.5439051585422168,1.0
280000,3.5871215,682.7586206896551,-0.04153734,0.69083935,-1.0114741295998604,-1.0114741295998604,2.5447835956924947,1.0
300000,3.580543,575.7647058823529,-0.049531646,0.692449,-1.1412073496064883,-1.1412073496064883,2.0359740690944497,1.0
320000,3.5869985,769.8888888888889,-0.08710716,0.63804555,-0.588825929783828,-0.588825929783828,2.73912912848647,1.0
340000,3.5946867,679.25,-0.10072138,0.5699412,-0.8328535744001003,-0.8328535744001003,2.3595989546073333,1.0
360000,3.5810108,771.1034482758621,-0.09653948,0.48951238,-0.9810160758372929,-0.9810160758372929,2.3903785438077256,1.0
380000,3.5810513,656.5185185185185,-0.103026666,0.47814685,-0.8680214317241085,-0.8680214317241085,1.7990555696721588,1.0
400000,3.5801318,765.2068965517242,-0.10026378,0.4332995,-0.7206448159895131,-0.7206448159895131,1.9583492556040913,1.0
420000,3.5855749,734.6538461538462,-0.09600447,0.4147404,-0.7212615528859225,-0.7212615528859225,1.9117300259665801,1.0
440000,3.5821233,548.9459459459459,-0.14489086,0.46750528,-1.2238716230455573,-1.2238716230455573,1.831554406901469,1.0
460000,3.5881486,825.2173913043479,-0.11862129,0.394617,-0.7397695661993171,-0.7397695661993171,2.1892384679522365,1.0
480000,3.5582368,670.9,-0.10059322,0.38543674,-1.0564683226005096,-1.0564683226005096,1.7345021231119366,1.0
