Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
20000,2.31379,122.50931677018633,0.09974772,-0.10598971,-1.4542199800256639,-1.4542199800256639,0.853045092037064,0.11748566,0.025140025,0.00029984524,1.6671131,2.526757,1.0
40000,2.312973,145.14529914529913,-0.14812426,0.14492548,-1.395340642118353,-1.395340642118353,1.2144136525339337,0.09556174,0.021209974,0.00029961317,0.4466626,2.3767958,1.0
60000,2.299337,200.45631067961165,-0.25357258,0.29265323,-1.1167747096239942,-1.1167747096239942,1.1931079943829388,0.0597739,0.021848146,0.00029930467,0.29095632,2.310266,1.0
80000,2.251891,338.17021276595744,-0.17912588,0.3256168,-0.4091147873154346,-0.4091147873154346,1.506483809231716,0.045288347,0.023674507,0.00029899587,0.24571112,2.2292562,1.0
100000,2.2124608,594.45,-0.071594395,0.35608906,0.22334882177603552,0.22334882177603552,2.665165056104366,0.020339567,0.021804566,0.00029868406,0.20478018,2.2283573,1.0
120000,2.1998785,528.46875,-0.01953488,0.36201668,0.08005465668710796,0.08005465668710796,2.594109862273785,0.020242024,0.025340132,0.00029837328,0.24842519,2.0712643,1.0
140000,2.1791894,555.6363636363636,0.022184502,0.43332925,-0.20234538050311984,-0.20234538050311984,3.886998633480151,0.01862736,0.024335697,0.0002980634,0.2734823,1.9791263,1.0
160000,2.143358,750.6451612903226,0.029554024,0.46347612,0.5723098336208251,0.5723098336208251,4.0068305682451015,0.015819386,0.021869183,0.00029775425,0.25255728,1.8859982,1.0
180000,2.1389382,639.7666666666667,0.065078266,0.4768228,0.40838681608438493,0.40838681608438493,3.0301216377255815,0.020752113,0.025166864,0.00029744505,0.23885477,1.8915343,1.0
200000,2.137089,538.1470588235294,0.092815444,0.47284603,0.27361777282374744,0.27361777282374744,2.62952545439304,0.02249752,0.023681914,0.00029713666,0.24172819,1.8041469,1.0
220000,2.094295,659.2258064516129,0.046945125,0.4770297,0.15961344266931216,0.15961344266931216,3.343385023623705,0.01871009,0.022810929,0.00029682775,0.25504375,1.8289506,1.0
240000,2.051477,550.6410256410256,0.09872449,0.5054316,0.08479010742157697,0.08479010742157697,3.252432569497614,0.02567645,0.026370347,0.0002965193,0.24780554,1.7802422,1.0
260000,2.0419197,442.1041666666667,0.010197708,0.5022561,-0.20991654973477125,-0.20991654973477125,2.147013865406431,0.033233132,0.021271624,0.0002962098,0.22631592,1.796005,1.0
280000,2.0181108,425.0,0.007983658,0.4980171,-0.030447489360258692,-0.030447489360258692,1.868432036894817,0.027476793,0.018219706,0.0002959006,0.21661529,1.7475734,1.0
300000,2.0175326,684.6551724137931,-0.038689535,0.48218694,0.877220860072251,0.877220860072251,2.915533242775288,0.01783815,0.020760851,0.00029559268,0.21257429,1.739795,1.0
320000,1.985408,474.6363636363636,0.024694284,0.46194297,-0.2388544404371218,-0.2388544404371218,2.1685037682340904,0.031733193,0.022690905,0.00029528473,0.2173809,1.7627655,1.0
340000,1.9913765,462.5609756097561,0.010062773,0.4413406,-0.15874275325664453,-0.15874275325664453,1.8254303912177594,0.030421562,0.022755824,0.0002950531,0.18761079,1.719708,1.0
360000,1.9616382,430.78,0.019773168,0.4420751,-0.4598359165340662,-0.4598359165340662,1.7967829966940918,0.02632071,0.021886759,0.00029482174,0.20333017,1.6545806,1.0
