Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
20000,2.1930702,132.42753623188406,0.048608594,0.10129249,0.6566813294438348,0.6566813294438348,1.0867657485633981,0.1499619,0.028429307,0.00029984576,2.360324,2.151397,1.0
40000,2.1728044,183.32692307692307,0.16583702,0.3608122,1.4593788769493983,1.4593788769493983,2.354126724767164,0.14966117,0.022231046,0.0002996137,0.6129921,2.1018782,1.0
60000,2.1359484,204.21904761904761,0.26292592,0.4372617,1.5878304355549362,1.5878304355549362,1.2948387192742337,0.1261029,0.022431219,0.00029930516,0.3123263,2.0138073,1.0
80000,2.119865,236.70238095238096,0.37143686,0.45355844,1.8097145234545071,1.8097145234545071,1.1254561271912062,0.12241341,0.023594024,0.00029899695,0.23957814,1.9178586,1.0
100000,2.0805972,288.6470588235294,0.4001528,0.4501017,2.7006122314218266,2.7006122314218266,1.300075848614658,0.09805408,0.02333086,0.0002986871,0.22795364,1.8629775,1.0
120000,2.0508704,316.51785714285717,0.59398454,0.44975626,2.8490705401228187,2.8490705401228187,1.5239391755945817,0.0966606,0.024543252,0.00029837782,0.2411134,1.7006292,1.0
140000,2.070351,471.3658536585366,0.4967847,0.46956515,2.782805207299023,2.782805207299023,2.8605508303877376,0.08964401,0.022939095,0.00029806825,0.29343194,1.6166296,1.0
160000,2.0995653,359.01960784313724,0.3471125,0.5288056,2.0748630680289923,2.0748630680289923,2.560679136171672,0.08173755,0.023876522,0.00029776004,0.3507343,1.6679493,1.0
180000,2.1070132,397.5833333333333,0.58417785,0.58524907,2.5589664328401374,2.5589664328401374,2.902758475580505,0.080075875,0.024915192,0.0002974523,0.34181735,1.6452936,1.0
200000,2.1133602,423.0625,0.54115355,0.6269095,3.61655140683359,3.61655140683359,2.9788992385479753,0.0876463,0.024783928,0.0002971429,0.3417425,1.6422658,1.0
220000,2.1104794,465.0,0.5276155,0.64576554,4.857297826457668,4.857297826457668,3.228914464949756,0.08871628,0.026397783,0.0002968334,0.3482616,1.6321713,1.0
240000,2.0968604,673.4333333333333,0.5105981,0.6645192,3.0995668654640514,3.0995668654640514,4.6670315448970845,0.06354605,0.024609094,0.00029652286,0.33319902,1.5839021,1.0
260000,2.0798361,503.5128205128205,0.5472316,0.6733876,4.288256895656769,4.288256895656769,3.366146694200161,0.07355638,0.023302361,0.00029621308,0.32954496,1.5637344,1.0
280000,2.0781062,641.8387096774194,0.63744944,0.6630506,5.247581109404564,5.247581109404564,3.929391226190473,0.0701153,0.026680544,0.00029590324,0.29048473,1.5470978,1.0
