Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
20000,2.1955073,125.57894736842105,0.33006775,-0.119811594,0.5633908740633371,0.5633908740633371,1.176753158138337,0.20690605,0.025920155,0.000299845,2.4775314,2.153311,1.0
40000,2.190299,121.74193548387096,0.32653424,0.17399338,0.6435770490803779,0.6435770490803779,1.253541097480756,0.18653281,0.02292897,0.00029961404,0.5892775,2.1050105,1.0
60000,2.1801124,177.99137931034483,0.31850773,0.34205022,0.6817827325800191,0.6817827325800191,1.0681127706653966,0.15010037,0.025179397,0.00029930586,0.30846322,2.087802,1.0
80000,2.1688447,194.37209302325581,0.31376562,0.40188712,1.5567161184312268,1.5567161184312268,0.9069127111261795,0.12466133,0.023465093,0.0002989975,0.22947705,2.0566947,1.0
100000,2.1531954,311.14925373134326,0.36626756,0.40516013,2.116836109045726,2.116836109045726,1.17307544703015,0.09527415,0.024250995,0.00029868807,0.18990858,2.0045273,1.0
120000,2.134581,453.8936170212766,0.23607571,0.39926174,1.8628046291515878,1.8628046291515878,1.7529429710753586,0.07641144,0.022387758,0.0002983769,0.18623704,1.9165678,1.0
140000,2.1285923,383.96078431372547,0.41969725,0.40006518,1.8226276218306785,1.8226276218306785,1.7503605321159257,0.07899478,0.019468259,0.00029806513,0.23252973,1.7846494,1.0
160000,2.1111996,299.1666666666667,0.5057283,0.41990638,2.3762133849448843,2.3762133849448843,1.7463595277790103,0.101931185,0.02627486,0.00029775506,0.28114444,1.7730677,1.0
180000,2.101477,446.02,0.37314543,0.4664361,1.8907553310296974,1.8907553310296974,2.7951413935563547,0.0740864,0.026023358,0.000297445,0.33090836,1.6647191,1.0
200000,2.0720556,417.54761904761904,0.50353575,0.51791424,1.2161592441526325,1.2161592441526325,3.0067360842447006,0.06737691,0.023921374,0.00029713626,0.33688742,1.5899312,1.0
220000,2.0639033,647.8928571428571,0.35046622,0.5658078,6.5501791914658885,6.5501791914658885,4.282958191682285,0.05775012,0.021844804,0.00029682662,0.33367908,1.5693349,1.0
240000,2.0289464,407.5,0.6371606,0.5762055,2.9435970780830227,2.9435970780830227,2.632791972028152,0.091117,0.024522997,0.00029651716,0.32091758,1.5070701,1.0
260000,2.0051308,530.24,0.55531734,0.58683884,5.29532044172287,5.29532044172287,2.896843788437545,0.08098374,0.021358866,0.00029620726,0.26081192,1.5169573,1.0
280000,1.987927,651.0833333333334,0.9599289,0.5638072,6.3592506522933645,6.3592506522933645,3.486359732432498,0.0708867,0.023155544,0.0002958986,0.27034009,1.4648421,1.0
300000,1.988329,579.4516129032259,0.84185773,0.55399257,5.118903745326303,5.118903745326303,3.3477616480461534,0.068527974,0.023498338,0.0002955899,0.2819745,1.4289494,1.0
