Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
20000,2.1946933,116.39873417721519,0.29557782,-0.047829036,0.45728491605082644,0.45728491605082644,1.0932259910056203,0.21143807,0.02397692,0.00029984544,2.5560458,2.159618,1.0
40000,2.1886013,167.21951219512195,0.3205276,0.30519208,0.8723822761841906,0.8723822761841906,2.5149172882916693,0.18549958,0.02065033,0.0002996124,0.6822797,2.1329875,1.0
60000,2.188774,137.39285714285714,0.3630357,0.43182087,0.7327287160924503,0.7327287160924503,0.8357380390882359,0.16336282,0.025797663,0.0002993035,0.3246495,2.1014009,1.0
80000,2.1709838,184.33644859813083,0.34007552,0.43862757,1.2539815156259269,1.2539815156259269,0.848747058899934,0.13862714,0.024427228,0.00029899558,0.23723984,2.0595884,1.0
100000,2.1503394,333.0877192982456,0.37216675,0.4315954,2.241175683966854,2.241175683966854,1.2615976445540262,0.10449411,0.022496745,0.0002986854,0.1859343,2.0131843,1.0
120000,2.1265454,418.3404255319149,0.34367144,0.40849033,2.2698938654775316,2.2698938654775316,1.5033610322056932,0.086995825,0.028520346,0.00029837486,0.17569232,1.9266751,1.0
140000,2.1017904,435.02222222222224,0.56480974,0.39989498,3.9472671505477694,3.9472671505477694,1.6336336043482231,0.093780845,0.022582933,0.00029806618,0.19138734,1.8570542,1.0
160000,2.0938075,412.80434782608694,0.5223237,0.3975786,3.0930438148586648,3.0930438148586648,1.9238606677491865,0.089708835,0.025647147,0.00029775634,0.24005046,1.729506,1.0
180000,2.0929778,595.3513513513514,0.31895036,0.43745017,2.5660814683179596,2.5660814683179596,3.764404012142001,0.049852185,0.026114855,0.00029744802,0.31373835,1.7098949,1.0
200000,2.083706,499.9736842105263,0.6499983,0.49734485,5.8889480264563305,5.8889480264563305,3.5443655682488737,0.077075586,0.02480425,0.00029713946,0.34799352,1.6112442,1.0
220000,2.075983,358.5576923076923,0.5339856,0.5582919,2.0886542070657015,2.0886542070657015,2.725727995024779,0.09578499,0.024708549,0.0002968307,0.361507,1.6293211,1.0
240000,2.069726,512.875,0.75166833,0.5994699,5.342325488105416,5.342325488105416,3.3812073864988634,0.06889041,0.02572922,0.00029652042,0.32101882,1.590586,1.0
260000,2.0486631,425.0,0.85433364,0.6145594,4.004224912244446,4.004224912244446,2.961048370961347,0.102156386,0.027764814,0.00029621128,0.3383495,1.5811523,1.0
280000,2.0302382,390.3333333333333,0.73739076,0.6191197,2.5691461778866747,2.5691461778866747,2.492161364389176,0.09718414,0.018125877,0.00029590173,0.30559874,1.5775546,1.0
300000,2.032908,542.1111111111111,0.72267413,0.5993387,3.5351948253810406,3.5351948253810406,3.2633837019610734,0.07617937,0.023932235,0.0002955907,0.2949997,1.5240036,1.0
320000,2.0233426,772.4074074074074,0.74744457,0.586874,5.902115933023966,5.902115933023966,4.290400502486871,0.05412844,0.02643745,0.0002952815,0.28567925,1.5054646,1.0
340000,1.9822317,535.3333333333334,0.8456538,0.5926777,5.582379041894062,5.582379041894062,3.1792941538591846,0.084212154,0.022448605,0.0002950506,0.26359147,1.4821594,1.0
360000,1.9519491,539.918918918919,0.9406292,0.5658946,4.79127075865462,4.79127075865462,2.9722135135828442,0.083361626,0.020371629,0.00029481907,0.27742523,1.4396938,1.0
380000,1.9372629,546.972972972973,0.6039073,0.56387776,4.912351863106361,4.912351863106361,3.0168929511863687,0.07375411,0.02243194,0.0002945097,0.26775706,1.4070003,1.0
400000,1.9162191,476.30232558139534,0.99049103,0.55755466,4.572512153276177,4.572512153276177,2.343931593564014,0.08332445,0.02494552,0.00029420096,0.2538431,1.3807144,1.0
420000,1.9076778,525.027027027027,1.0813129,0.5260163,7.448514249477838,7.448514249477838,2.375923050869558,0.10319948,0.027774284,0.00029389292,0.22762322,1.3319405,1.0
440000,1.8714452,572.0555555555555,1.0863903,0.49733543,7.784472995334202,7.784472995334202,2.458556779815505,0.09104781,0.022723418,0.0002935842,0.21461351,1.281839,1.0
460000,1.8778582,632.741935483871,1.1945629,0.46726036,9.981904214428317,9.981904214428317,2.596907376702274,0.05880232,0.02461648,0.00029327522,0.20376049,1.2659469,1.0
480000,1.8751936,696.3,1.1587226,0.45671844,6.97680076956749,6.97680076956749,2.7754879910498857,0.0790797,0.021931302,0.00029296655,0.19689533,1.3045044,1.0
500000,1.8810029,637.6428571428571,1.0805418,0.42970014,6.1943220144936015,6.1943220144936015,2.4254592740908265,0.08151476,0.023304861,0.00029265668,0.18663257,1.2941223,1.0
520000,1.8490726,741.4,1.0231488,0.423736,4.076967061062654,4.076967061062654,3.047421778334926,0.07180171,0.020648757,0.00029234902,0.20431614,1.3018517,1.0
540000,1.7674694,575.5151515151515,0.91201806,0.44145134,3.7198488694248777,3.7198488694248777,3.1119299305842794,0.07925564,0.028443657,0.00029203994,0.20431045,1.2354671,1.0
