Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
20000,2.309666,105.25414364640883,0.29197994,0.17662522,0.33927634638317383,0.33927634638317383,0.7726321459145836,0.19801432,0.031057023,0.0002998462,1.7816696,2.5343916,1.0
40000,2.3001287,128.82089552238807,0.26494843,0.34557813,0.7991556860782482,0.7991556860782482,1.0956894544151576,0.17858568,0.0219759,0.00029961258,0.4621597,2.3899007,1.0
60000,2.2763877,293.6666666666667,0.4647386,0.44795775,3.602782977879911,3.602782977879911,1.621118514130459,0.10135794,0.028849654,0.00029930257,0.28443205,2.2779539,1.0
80000,2.247429,258.18055555555554,0.47502583,0.45881283,2.0355280000302525,2.0355280000302525,1.2689320807726796,0.10147156,0.023917444,0.000298994,0.23612982,2.235492,1.0
100000,2.2067072,469.94871794871796,0.6961348,0.45614076,5.0407182935338755,5.0407182935338755,2.029295500533548,0.078912735,0.024002036,0.00029868598,0.21702603,2.1719303,1.0
120000,2.1820571,766.7307692307693,0.57020044,0.44024613,6.065384856210305,6.065384856210305,3.5940578807718477,0.04972957,0.02381105,0.00029837567,0.24187243,1.9664881,1.0
140000,2.180188,733.625,0.6762072,0.46797973,8.50803176406771,8.50803176406771,3.4975236798927654,0.0410134,0.021443134,0.0002980663,0.2279662,1.9126179,1.0
160000,2.1711845,816.3157894736842,0.7643622,0.45580864,8.374789998719567,8.374789998719567,3.7299887438941943,0.048390508,0.021978877,0.0002977558,0.23265877,1.8583231,1.0
180000,2.1516018,856.7407407407408,0.42740256,0.45182845,6.683926248991931,6.683926248991931,4.105289696689902,0.033941224,0.023589496,0.00029744604,0.2328074,1.7295934,1.0
200000,2.1361163,576.59375,0.5602193,0.4718148,3.5206454290497686,3.5206454290497686,3.206042112902768,0.04169169,0.023867212,0.00029713823,0.23715907,1.8765342,1.0
220000,2.13416,556.1388888888889,1.1882156,0.48317033,7.088892440538149,7.088892440538149,2.73816213565501,0.06951922,0.021241497,0.00029682834,0.25658047,1.7381799,1.0
240000,2.1182396,600.8125,0.943994,0.51242775,7.123875506222248,7.123875506222248,3.015221302222926,0.08219701,0.021382496,0.00029651896,0.251723,1.7304077,1.0
260000,2.1152434,610.2424242424242,0.9916926,0.48612022,5.706818495735978,5.706818495735978,2.987629129579573,0.056791168,0.02216782,0.00029620854,0.23077315,1.6807982,1.0
280000,2.0786858,564.0857142857143,1.0267686,0.4673818,7.376029058013644,7.376029058013644,2.5186305308581463,0.06619252,0.0245036,0.0002958992,0.20786352,1.6982927,1.0
300000,2.0702553,756.3666666666667,0.8702125,0.46164033,6.990200471878052,6.990200471878052,3.2576675220082203,0.055272594,0.023040053,0.0002955902,0.20798722,1.6988875,1.0
320000,2.08362,584.1764705882352,1.2266415,0.47010875,7.371636874070673,7.371636874070673,2.644036179916425,0.079958364,0.02535395,0.00029528158,0.22095804,1.735304,1.0
340000,2.0435297,722.4347826086956,1.3945656,0.44792536,12.658875957131386,12.658875957131386,3.0221681549058608,0.06333628,0.02198262,0.0002950498,0.20855898,1.7604778,1.0
360000,2.022062,713.3125,1.1225014,0.42332628,9.478406825335696,9.478406825335696,2.7113024640711956,0.05970099,0.020933613,0.00029481848,0.201561,1.5930597,1.0
380000,2.0290477,555.9459459459459,1.2302715,0.42338035,6.049730089065191,6.049730089065191,2.276630142149893,0.073912494,0.026036609,0.00029450917,0.19076645,1.6123416,1.0
400000,2.0244215,581.3333333333334,1.5262017,0.43527284,9.189243103518631,9.189243103518631,2.517944034950977,0.083555415,0.022542264,0.00029420105,0.21285284,1.6199455,1.0
420000,2.028801,675.9642857142857,1.0681307,0.42532605,9.772964973534856,9.772964973534856,3.01836346266126,0.051625364,0.027023464,0.00029389068,0.21061775,1.6375594,1.0
440000,2.044861,649.4,1.0439472,0.42680323,6.559633789956569,6.559633789956569,3.06236693339888,0.06960198,0.023819897,0.0002935808,0.22928195,1.6005306,1.0
460000,2.029585,649.9375,1.1241305,0.43092477,8.157688063103706,8.157688063103706,3.0044629741169047,0.054465123,0.021965325,0.00029327162,0.23072028,1.5622561,1.0
480000,2.0553794,756.1538461538462,1.4942839,0.41868,12.222347107071142,12.222347107071142,3.4196792274373227,0.06361264,0.022068385,0.00029296055,0.21678862,1.5781729,1.0
500000,2.039936,773.1923076923077,1.0143632,0.44527,9.828280678391456,9.828280678391456,3.9565735276415945,0.051722795,0.020382274,0.00029265115,0.24643937,1.5799245,1.0
520000,2.0258763,609.15625,1.545622,0.4607612,9.828515860167416,9.828515860167416,3.308652152998768,0.090188175,0.02549743,0.0002923418,0.26289934,1.5764612,1.0
540000,2.0448987,585.6315789473684,1.4084922,0.46224573,8.699290217537628,8.699290217537628,2.963136236661261,0.06736915,0.021480504,0.00029203374,0.24728301,1.5838877,1.0
560000,2.0505242,579.36,1.1132104,0.46400046,7.928440703749657,7.928440703749657,2.8010628842934966,0.08862986,0.02460566,0.0002917238,0.23647863,1.5151497,1.0
580000,2.0563068,785.5172413793103,1.149162,0.47192344,9.088104059983944,9.088104059983944,3.4767706186735423,0.04562973,0.022904646,0.00029141203,0.21119863,1.5089853,1.0
600000,2.0603359,736.4827586206897,1.2870346,0.46032742,10.783828307842386,10.783828307842386,3.0614058176629597,0.056669503,0.024543442,0.0002911027,0.20405146,1.4920311,1.0
620000,2.008614,673.6071428571429,1.2178051,0.46503568,8.486714769953064,8.486714769953064,2.926995184521989,0.060267307,0.023519434,0.00029079296,0.1935991,1.6022298,1.0
640000,2.0274355,699.1034482758621,1.1256748,0.43539008,9.59862131702489,9.59862131702489,2.8394440103177754,0.057870686,0.026075441,0.00029048274,0.18818437,1.57632,1.0
660000,2.02645,821.1666666666666,1.0316159,0.46891874,9.488520584702492,9.488520584702492,3.4450295396149158,0.04961,0.032336853,0.00029025046,0.20966932,1.5707442,1.0
680000,2.0059454,730.36,0.65880007,0.44078958,7.849560549259186,7.849560549259186,3.152362682428211,0.056269847,0.020942982,0.0002900195,0.21606082,1.6157204,1.0
700000,1.9992905,781.8148148148148,1.0959828,0.4238055,9.87114868340669,9.87114868340669,3.1355394338844,0.051379576,0.019803112,0.00028970983,0.19172166,1.6033275,1.0
720000,1.9970199,850.304347826087,1.1858073,0.4235477,11.165000675165135,11.165000675165135,3.442366586309736,0.042256866,0.024614967,0.0002894008,0.1995934,1.5807145,1.0
740000,1.980887,548.1081081081081,1.3277512,0.46655774,7.098730337780875,7.098730337780875,2.3882666298981152,0.07770455,0.0215635,0.0002890905,0.21010861,1.5813646,1.0
760000,2.0044174,892.0869565217391,1.0659939,0.4651006,12.017044345969738,12.017044345969738,3.3683294312542547,0.0415317,0.020297859,0.000288781,0.18692489,1.5219831,1.0
780000,1.9948702,591.9705882352941,1.2302847,0.46319,9.158971294322434,9.158971294322434,2.5581669252201475,0.068339124,0.026993599,0.00028847193,0.21365613,1.5431273,1.0
800000,1.9580011,538.2903225806451,1.13241,0.45373753,7.484548961443286,7.484548961443286,2.1854655703740016,0.073872104,0.020914402,0.00028816203,0.1922687,1.4884977,1.0
820000,1.9682108,751.8,0.9130048,0.45794454,8.935134074091911,8.935134074091911,3.1598086714123688,0.055067554,0.028224621,0.00028785216,0.20546779,1.4898984,1.0
840000,1.9540468,686.1851851851852,1.228633,0.447824,9.22963033285406,9.22963033285406,2.6821870553065783,0.047900304,0.0224554,0.0002875443,0.18627965,1.5077882,1.0
860000,1.9672792,795.1153846153846,1.0230207,0.43330503,11.800654693005177,11.800654693005177,3.057615666829336,0.059028197,0.024094068,0.0002872347,0.1932539,1.4831742,1.0
880000,1.9374008,730.1379310344828,1.0289847,0.42223132,9.132793905406162,9.132793905406162,2.9871232315922027,0.052401524,0.02428532,0.00028692558,0.19329551,1.4757615,1.0
900000,1.9307054,598.4516129032259,0.8973887,0.42746538,7.191258655921105,7.191258655921105,2.4520409028721795,0.06624257,0.022097722,0.0002866158,0.195112,1.4409034,1.0
920000,1.9075408,773.9629629629629,1.4343314,0.4074321,10.651037887842566,10.651037887842566,3.04119532548443,0.048535213,0.02353983,0.0002863063,0.19209415,1.4803429,1.0
940000,1.9048078,671.9,1.3635476,0.41193748,11.364667602876823,11.364667602876823,2.733740347654869,0.06550976,0.023825329,0.0002859974,0.20185077,1.5107634,1.0
960000,1.878499,778.5925925925926,1.1775866,0.43045312,8.137556252104265,8.137556252104265,3.2218862852486954,0.061010174,0.023644734,0.0002856885,0.20387533,1.4301348,1.0
980000,1.8920892,760.375,1.2618351,0.4146079,9.376875852545103,9.376875852545103,2.958894568165609,0.058943667,0.02345712,0.00028537895,0.18636549,1.4307806,1.0
1000000,1.9270513,693.75,1.3165269,0.4098547,10.959594753570855,10.959594753570855,2.8314227040245896,0.028792467,0.025196882,0.00028514612,0.20978637,1.5082942,1.0
1020000,1.9204606,676.2592592592592,0.83924,0.4259595,7.092778458639428,7.092778458639428,2.924977731615029,0.08332763,0.023452474,0.00028491346,0.20833576,1.4399701,1.0
1040000,1.919368,713.25,0.8810472,0.42987156,5.738172836344818,5.738172836344818,3.165382111637757,0.055013627,0.023199422,0.00028460324,0.22031084,1.4695563,1.0
1060000,1.9270718,794.25,1.1944907,0.42492262,11.357667557274302,11.357667557274302,3.124802526086569,0.049291547,0.023921393,0.00028429343,0.19030446,1.4762137,1.0
