Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
20000,2.3103309,148.28682170542635,-0.008358391,0.0899303,1.257015832234174,1.257015832234174,1.017342682396702,0.050116353,0.019638848,0.00029984486,1.6991876,2.5269957,1.0
40000,2.2980487,152.09302325581396,0.066420935,0.0724784,1.6131617589638783,1.6131617589638783,1.2998612687081241,0.036403384,0.02187438,0.00029961378,0.45951885,2.3803082,1.0
60000,2.281221,193.21212121212122,0.07767817,0.04420832,1.9661619055150734,1.9661619055150734,1.192659763629887,0.036035188,0.025128089,0.00029930385,0.32153803,2.237556,1.0
80000,2.2601428,230.17241379310346,0.050010774,0.037676793,2.128465402264928,2.128465402264928,1.2323362121688808,0.025063548,0.019851394,0.00029899547,0.25347927,2.2013109,1.0
100000,2.2282965,252.0,0.06326325,0.031176819,2.4142310500144957,2.4142310500144957,1.195292336669249,0.024154035,0.023752544,0.0002986873,0.23219582,2.1151829,1.0
120000,2.1767194,487.2391304347826,0.06324223,0.032106366,6.652804897531219,6.652804897531219,2.1292910171449995,0.015596943,0.02401426,0.0002983795,0.224193,2.0917525,1.0
140000,2.1373801,471.725,0.06213738,0.035532463,4.878275393694639,4.878275393694639,2.3769554109952877,0.010644193,0.02055615,0.00029807026,0.23723611,2.033802,1.0
160000,2.13278,531.8181818181819,0.061691068,0.034256317,5.635151859485742,5.635151859485742,2.4078026845430336,0.010922885,0.02360385,0.00029776015,0.22417992,2.0071256,1.0
180000,2.149115,619.1515151515151,0.0792875,0.03141355,7.3932125712886005,7.3932125712886005,3.2891586121510374,0.008567374,0.024336357,0.00029745128,0.27398437,1.8729615,1.0
200000,2.1330419,443.3636363636364,0.10017866,0.03972311,4.81413989392824,4.81413989392824,2.6491857992923755,0.013328651,0.029887479,0.00029714266,0.30132383,1.8853054,1.0
220000,2.1354809,619.875,0.094502576,0.038751956,9.17914357923326,9.17914357923326,3.501077750780886,0.0069001205,0.023237087,0.00029683486,0.2688532,1.901606,1.0
240000,2.116727,594.8666666666667,0.08154958,0.04221151,7.13436726530393,7.13436726530393,3.781087138480507,0.010493943,0.01983196,0.00029652618,0.3118407,1.8272618,1.0
260000,2.052441,518.1538461538462,0.08365791,0.042847548,6.2275388313409605,6.2275388313409605,3.0356280136232576,0.01257807,0.02064135,0.0002962177,0.27167943,1.8536606,1.0
280000,2.019824,661.0357142857143,0.103610136,0.036479916,9.037000525210585,9.037000525210585,3.414962887763977,0.008825058,0.024983171,0.00029590947,0.26841784,1.7571064,1.0
