Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
20000,2.1944478,119.48170731707317,0.10789622,-0.0094328625,0.6120737589941434,0.6120737589941434,1.1565264657745424,0.07013795,0.029433466,0.00029984405,2.336681,2.1307375,1.0
40000,2.1846874,163.3909090909091,0.026180029,0.07825332,1.2479821702650002,1.2479821702650002,1.6740505227898792,0.04599499,0.024754167,0.0002996124,0.591235,2.0974884,1.0
60000,2.1568272,220.19480519480518,0.0454751,0.054188438,1.40935087881305,1.40935087881305,1.3906345818276433,0.0306193,0.02115143,0.0002993033,0.32183218,2.071982,1.0
80000,2.101159,540.2439024390244,0.00096890266,0.034239367,-0.374574931897223,-0.374574931897223,2.2057866288232617,0.014314144,0.024735805,0.0002989947,0.20830482,2.0106483,1.0
100000,2.0288124,470.05128205128204,0.009099678,0.02444044,1.2293251841329038,1.2293251841329038,1.8262222199293319,0.012140753,0.026775282,0.00029868435,0.17786351,1.9306096,1.0
120000,2.0033236,507.5135135135135,0.029567717,0.01930192,0.7999724523267813,0.7999724523267813,1.8367711984060913,0.010856057,0.024296228,0.00029837585,0.16652064,1.8626399,1.0
140000,1.9744365,596.3333333333334,0.013687768,0.025592797,0.21783790395066543,0.21783790395066543,2.0626925132866645,0.011084893,0.021252107,0.00029806688,0.17673501,1.8034523,1.0
160000,1.9373739,606.2352941176471,0.0053880047,0.021758411,1.6076178044519003,1.6076178044519003,2.051780171918354,0.011020482,0.027011372,0.00029775838,0.16747469,1.684093,1.0
180000,1.9560468,541.7567567567568,0.01365878,0.023716616,0.8442703795594138,0.8442703795594138,2.017778807948973,0.011331387,0.023536399,0.0002974494,0.18136302,1.7282763,1.0
200000,1.9611669,676.6071428571429,0.012963334,0.024892552,0.672642911917397,0.672642911917397,2.704628119078864,0.010151813,0.02339254,0.00029714016,0.1968098,1.6987562,1.0
220000,1.9271656,526.2857142857143,0.040418353,0.030488132,2.056976406081092,2.056976406081092,2.288580885172234,0.011921223,0.017439593,0.00029683101,0.22716695,1.6347702,1.0
240000,1.9192519,409.5,0.009019001,0.032441832,1.5737752156332134,1.5737752156332134,2.0116443978389724,0.0128456075,0.025282811,0.0002965217,0.2546593,1.5540624,1.0
260000,1.8888249,701.1875,0.0032265906,0.028921468,2.110750191961415,2.110750191961415,3.633225497440435,0.0091439225,0.023931349,0.0002962125,0.2517017,1.522357,1.0
280000,1.8863711,629.2,0.010873082,0.03587247,1.6231002305944762,1.6231002305944762,3.250186977162957,0.008101575,0.020790631,0.00029590342,0.25782353,1.4810203,1.0
300000,1.8689078,584.5454545454545,0.0064508286,0.036268976,1.078212213674278,1.078212213674278,3.0394062422794486,0.009610409,0.02078524,0.00029559457,0.24810767,1.500591,1.0
320000,1.8550239,804.5,0.020552458,0.037840154,1.0005834523277979,1.0005834523277979,4.334022102567057,0.0077301795,0.023269951,0.0002952848,0.2756841,1.4733464,1.0
340000,1.8917116,844.7692307692307,0.0027440463,0.039485075,0.6645769554261978,0.6645769554261978,5.473358859146874,0.007802702,0.023304325,0.0002950534,0.32028002,1.458506,1.0
360000,1.8739756,520.7368421052631,0.0054971296,0.054202702,0.347789586864804,0.347789586864804,3.3067093155420335,0.010296265,0.021330036,0.00029482297,0.3089223,1.5242279,1.0
