Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
20000,2.3095624,114.0909090909091,0.058994833,-0.006244945,0.4580001065225312,0.4580001065225312,0.7782207329249518,0.054313265,0.02535167,0.00029984576,1.525231,2.523922,1.0
40000,2.3024461,144.51470588235293,0.07892413,0.067141496,1.3048016779563005,1.3048016779563005,1.1357969339639085,0.044674635,0.022823572,0.00029961468,0.43028486,2.38996,1.0
60000,2.2784657,220.4367816091954,0.06142075,0.040983368,1.7708411264148625,1.7708411264148625,1.2446814211871242,0.033834383,0.01782474,0.0002993048,0.29667968,2.2702498,1.0
80000,2.2630706,193.44444444444446,0.05501422,0.034306537,1.48324263923698,1.48324263923698,0.9716589557385599,0.028292183,0.022596106,0.00029899515,0.22556816,2.2158213,1.0
100000,2.2417665,231.98876404494382,0.058700725,0.032087483,2.9500902485981415,2.9500902485981415,0.9827766530634312,0.029012907,0.020789096,0.0002986872,0.20775647,2.1767101,1.0
120000,2.2268245,330.05357142857144,0.0823948,0.027808048,3.901464610227517,3.901464610227517,1.3439613744683032,0.021171689,0.02452001,0.00029837817,0.19838949,2.1481943,1.0
140000,2.200709,416.72549019607845,0.09765942,0.028097397,5.568882790850658,5.568882790850658,1.7670019399283416,0.014991339,0.021739073,0.00029806944,0.19907388,2.1320114,1.0
160000,2.1897156,312.72222222222223,0.076774366,0.028514247,4.1165188876567065,4.1165188876567065,1.48350823916068,0.016296986,0.025986288,0.00029776152,0.23174098,2.0781717,1.0
180000,2.158663,510.5609756097561,0.1017674,0.028501412,7.048317583595834,7.048317583595834,2.516362250245903,0.0132347075,0.023467576,0.00029745226,0.2407892,2.0715413,1.0
200000,2.1326509,445.60869565217394,0.07228727,0.034214035,5.742891811806222,5.742891811806222,2.505895629302477,0.012142144,0.0209382,0.00029714438,0.2829758,1.9440066,1.0
