Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
20000,1.4182843,516.9166666666666,1.6905664,-0.8728521,-10.879222810604713,-10.879222810604713,177.15986863772073,1.7193964,0.027961582,0.00029979492,234.0638,1.9413438,1.0
40000,1.4120133,586.4571428571429,1.2962743,1.7554561,-9.866800550371408,-9.866800550371408,154.65065334865025,48.85022,0.02464553,0.00029948624,18.742508,0.3824482,1.0
60000,1.4111339,545.9444444444445,1.0348616,2.4595604,-10.736570112303728,-10.736570112303728,43.332766415344345,0.76295733,0.021681463,0.0002990748,3.4266057,0.3443058,1.0
80000,1.4120593,507.1025641025641,0.30522317,3.2915657,-6.0487438915058584,-6.0487438915058584,26.300277314889126,0.29765067,0.02439363,0.00029866115,2.2175508,0.3352446,1.0
100000,1.4168628,484.6585365853659,0.016097179,3.941783,-8.360866334561894,-8.360866334561894,22.42088473533712,0.11980718,0.020624332,0.00029824759,1.628467,0.33725104,1.0
120000,1.4179991,477.85714285714283,-0.20518696,3.5195222,-8.107762293468806,-8.107762293468806,13.096569230691308,0.15251866,0.026668895,0.00029783597,1.2632424,0.33621013,1.0
140000,1.4204621,512.2682926829268,-0.66876674,3.4474597,-13.73483020685068,-13.73483020685068,12.139622815498491,0.09787365,0.023648145,0.00029742497,1.0159128,0.33508956,1.0
160000,1.422515,521.9142857142857,-0.6990998,3.264798,-8.665243346829499,-8.665243346829499,10.989625208558781,0.06694027,0.024271548,0.00029701297,0.8555944,0.3367822,1.0
180000,1.4257838,490.0,-0.94084,2.7058206,-7.8802794248818655,-7.8802794248818655,7.093628358875597,0.04300248,0.023246381,0.00029660034,0.65940773,0.33868468,1.0
200000,1.429234,526.8378378378378,-0.7184942,2.2788043,-5.226375310060878,-5.226375310060878,5.787678477509568,0.034567665,0.02390278,0.0002961896,0.49223423,0.3391313,1.0
220000,1.4312847,525.6052631578947,-0.9036751,2.2275064,-7.402141397484602,-7.402141397484602,6.552620388233127,0.03820114,0.024193516,0.0002957781,0.50249743,0.3422795,1.0
240000,1.4347174,534.3783783783783,-1.158996,1.8235326,-10.1235005383858,-10.1235005383858,4.192816037886046,0.035127,0.023946285,0.00029536433,0.33586532,0.34132916,1.0
260000,1.4370571,507.8205128205128,-1.0171877,1.656278,-7.299077287889444,-7.299077287889444,3.6649598268171153,0.039154287,0.02455398,0.00029495163,0.3234859,0.34427595,1.0
280000,1.4367906,541.8974358974359,-0.8809124,1.5051602,-5.62942331802482,-5.62942331802482,3.614964934471899,0.023467045,0.02174675,0.00029453787,0.29548788,0.346914,1.0
300000,1.4372623,511.8918918918919,-0.92504954,1.1613008,-7.175676034134184,-7.175676034134184,2.927707870264311,0.028484136,0.025947284,0.00029412343,0.24805601,0.33951652,1.0
320000,1.4391918,556.4444444444445,-1.1591322,0.94660693,-10.05682000797242,-10.05682000797242,2.491359739460879,0.032736175,0.023940774,0.00029371036,0.19344458,0.34529796,1.0
340000,1.4393762,508.5897435897436,-1.3413701,0.99059916,-10.891282650857018,-10.891282650857018,2.4926026173127003,0.02534702,0.022031637,0.00029340133,0.19337903,0.34587273,1.0
360000,1.4400525,496.64285714285717,-1.2018344,0.7498697,-9.850119579583406,-9.850119579583406,2.0015355764854967,0.030897073,0.025017366,0.00029309173,0.20301032,0.34474242,1.0
