Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
20000,2.176195,381.9387755102041,-1.8823552,1.6189684,-5.039214459813333,-5.039214459813333,101.63030605170192,1.0354373,0.0169834,0.00029979498,185.62772,2.3941386,1.0
40000,2.1441562,363.56363636363636,-2.2055924,6.2074523,-6.032163870859552,-6.032163870859552,105.36946927742524,30.423037,0.026537199,0.0002994869,13.899843,2.1833947,1.0
60000,2.1385448,335.06779661016947,-1.998033,6.9705434,-5.337559567590765,-5.337559567590765,31.171313161567106,1.3009864,0.026728012,0.000299075,4.58368,2.1303444,1.0
80000,2.152537,407.52941176470586,-1.7306693,6.8387575,-5.486412026462894,-5.486412026462894,20.43792247684563,0.13192111,0.026043462,0.0002986634,2.445218,2.1632824,1.0
100000,2.1585917,263.4864864864865,-1.5913339,6.0071754,-4.354712463258319,-4.354712463258319,8.721855502218416,0.12142299,0.02460235,0.00029825186,1.5492766,2.1651387,1.0
120000,2.1535013,284.94202898550725,-1.525032,5.6171203,-4.6137143895495685,-4.6137143895495685,6.923115349560976,0.15885925,0.023521286,0.00029783958,1.0449955,2.168137,1.0
140000,2.1315622,269.22535211267603,-1.4421823,5.3373747,-4.702295922051171,-4.702295922051171,4.835212427519367,0.17580295,0.02412602,0.00029742598,0.8219404,2.153944,1.0
160000,2.1129837,253.84337349397592,-1.392076,4.6806645,-4.4968375020424824,-4.4968375020424824,4.291598092876823,0.14798167,0.024696253,0.00029701347,0.75814426,2.1324596,1.0
180000,2.0772114,215.46666666666667,-1.282555,4.676202,-3.3420611924750525,-3.3420611924750525,3.2697569355523837,0.18220787,0.020968309,0.0002966029,0.6621374,2.0969572,1.0
200000,2.0382078,205.27083333333334,-1.307718,4.485965,-3.1692448374912296,-3.1692448374912296,2.029657869381481,0.16205661,0.02687404,0.0002961906,0.42829078,2.1079054,1.0
220000,1.991522,167.14754098360655,-1.3135728,4.783472,-3.2576967655971156,-3.2576967655971156,1.6853361224228913,0.2309538,0.02304991,0.00029577868,0.48908198,2.0232215,1.0
240000,2.0314624,190.16504854368932,-1.1287817,3.648317,-2.7567718866941275,-2.7567718866941275,1.4041717198849157,0.17658627,0.025649985,0.00029536826,0.34054744,2.0680275,1.0
260000,1.9594314,152.76296296296297,-1.222379,4.2099547,-2.713837072515377,-2.713837072515377,1.171969274973014,0.16613513,0.024695573,0.00029495772,0.34601834,2.0175633,1.0
280000,1.9527502,172.2072072072072,-1.1612682,3.5696337,-2.8549054448224336,-2.8549054448224336,1.0402256732676514,0.15741357,0.02634422,0.00029454508,0.27919817,2.0235834,1.0
300000,1.8961685,209.14851485148515,-1.2807984,3.7742965,-3.3385900647449307,-3.3385900647449307,1.1537259586178699,0.18279353,0.026298553,0.00029413457,0.24887812,1.9641752,1.0
320000,1.8309466,151.14615384615385,-1.3935598,3.8104274,-3.2938626622354596,-3.2938626622354596,0.907360062298173,0.16676769,0.024193376,0.00029372278,0.27121007,1.9019622,1.0
340000,1.7837031,159.2377049180328,-1.3545798,3.4861474,-3.0287645240910814,-3.0287645240910814,0.8217631802771025,0.12435636,0.024111236,0.00029330916,0.23560703,1.880238,1.0
