Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
6800000,1.3399812,52.0,-0.40139887,0.06821386,-9.113749563694,-9.113749563694,0.0,1.0
6820000,1.3572648,465.20454545454544,0.037022695,0.050908275,0.6277442732176115,0.6277442732176115,0.7129004604161479,1.0
6840000,1.3152006,479.75,0.0758994,0.052678894,1.2876499641686678,1.2876499641686678,1.4518281844153536,1.0
6860000,1.3327788,454.07142857142856,0.048801884,0.059509825,-0.6214652740678122,-0.6214652740678122,1.4233694827660572,1.0
6880000,1.2871832,437.1020408163265,-0.07082101,0.07001189,-5.652625508179578,-5.652625508179578,1.4035218691181701,1.0
6900000,1.2631803,380.1764705882353,0.03729503,0.06511924,-0.09189416038302275,-0.09189416038302275,1.2473923709565917,1.0
6920000,1.3231688,380.8627450980392,-0.024622293,0.06535362,-1.8484902175910332,-1.8484902175910332,1.272138456978342,1.0
6940000,1.248057,400.2352941176471,0.01280813,0.066289596,-0.600294246831361,-0.600294246831361,1.3067695481300938,1.0
6960000,1.2460074,373.39622641509436,-0.04978922,0.06829598,-1.1970472582176608,-1.1970472582176608,1.2405789440743766,1.0
6980000,1.2796218,456.93333333333334,-0.021445764,0.062911205,-1.2155000519938768,-1.2155000519938768,1.5659554444667365,1.0
7000000,1.2737432,454.35555555555555,0.039254814,0.06746922,0.7660888645384046,0.7660888645384046,1.5488723770611816,1.0
7020000,1.2310728,387.5208333333333,0.040458236,0.06476718,-0.29962496292622137,-0.29962496292622137,1.2985108374462773,1.0
7040000,1.2742109,409.9574468085106,0.03728349,0.064652085,-0.2615426068610333,-0.2615426068610333,1.396899697123135,1.0
7060000,1.2550056,433.36,0.0643843,0.06501109,-0.3838265998935213,-0.3838265998935213,1.4181545022304873,1.0
7080000,1.2458565,446.75,0.03216337,0.0701332,-0.8922778827034765,-0.8922778827034765,1.5001891364653905,1.0
7100000,1.2171556,431.6521739130435,0.024557259,0.070136935,-1.14871113129581,-1.14871113129581,1.4937976820187435,1.0
7120000,1.276006,372.48148148148147,-0.054940224,0.07047094,-1.181291040033102,-1.181291040033102,1.2019493118267168,1.0
7140000,1.2964066,486.86842105263156,0.04101524,0.06546862,0.5427629759927329,0.5427629759927329,1.5785004210315252,1.0
7160000,1.2701092,444.2708333333333,0.0104610855,0.07071705,-0.7446668777847663,-0.7446668777847663,1.4841713527372729,1.0
7180000,1.2767445,446.0888888888889,0.06950519,0.07095247,0.8159431417218663,0.8159431417218663,1.4652080543085255,1.0
7200000,1.2195433,377.96,-0.025445241,0.07176601,-1.6321568690678652,-1.6321568690678652,1.3175770771123616,1.0
7220000,1.240177,359.2456140350877,-0.010615701,0.068886094,-0.21452639840151133,-0.21452639840151133,1.1870583159228165,1.0
7240000,1.2684212,376.1509433962264,-0.032686118,0.0697042,-1.4645463397933378,-1.4645463397933378,1.2805748889222741,1.0
7260000,1.239002,382.0,0.013125657,0.07036664,-0.02123010337352753,-0.02123010337352753,1.2854611873440445,1.0
7280000,1.2414663,490.12820512820514,0.06470611,0.062659174,0.7922691364700978,0.7922691364700978,1.5106867484461803,1.0
7300000,1.2757941,411.8979591836735,0.034624793,0.06785556,-0.9160204662428219,-0.9160204662428219,1.3340079891400374,1.0
7320000,1.2301533,456.3333333333333,0.025338579,0.06212751,-1.0976224094629288,-1.0976224094629288,1.2708478193316195,1.0
7340000,1.2486111,379.21153846153845,-0.017488318,0.06418718,0.18207536704557123,0.18207536704557123,1.0928382935476892,1.0
7360000,1.2620026,416.4255319148936,-0.0054342984,0.059894275,-1.0074787499739768,-1.0074787499739768,1.1885784118178677,1.0
7380000,1.2726848,429.89130434782606,0.04886883,0.055545244,-0.02134048082727067,-0.02134048082727067,1.1944831249086147,1.0
7400000,1.2860638,444.5869565217391,0.005620082,0.056989446,-0.5845979070695846,-0.5845979070695846,1.2563193892331228,1.0
7420000,1.2685584,447.86046511627904,0.04880412,0.059113953,0.5021976357282594,0.5021976357282594,1.2880106080204334,1.0
